OBJECTID;Facility;Address__Facility_;ZIP__Facility_;Town__Facility_;Canton__Facility_;Services__Facility_;Institution;Address__Institution_;Town__Institution_;Medic;Nursing_Staff;Medical_Staff_Other;Beds_Acute_Care;Beds_in_Psychiatric_Wards;Beds_in_Rehab;Beds_in_Birth_Centers;longitude;latitude;Beds_Aggregated;Beds_Total;Size_Category;Cost_per_Bed
682;Berner Reha Zentrum;Schwendi 303;3625;Heiligenschwendi;BE;Amb, Stat;Berner Reha Zentrum AG;Schwendi 303;3625 Heiligenschwendi;29.98;134.61;55.3;;;181;;2619469.348;1177642.272;;;;
683;Bethesda Spital;Gellertstrasse 144;4052;Basel;BS;Amb, Stat;Bethesda Spital AG;Gellertstrasse 144;4052 Basel;59.42;213.89;87.52;57;;40;;2613455.836;1266379.354;;;;
699;Centre Hospitalier Universitaire Vaudois;Rue du Bugnon 21;1011;Lausanne;VD;Amb, Stat;CHUV Centre Hospitalier Universitaire Vaudois;Rue du Bugnon 21;1011 Lausanne;1983.73;3664.13;1986.64;867;320;113;;2538698.004;1152910;1300;1175;Major Center;5170000
685;Brig - Verwaltung SZO;Spitalstrasse 7;3900;Brig;VS;;Spital Wallis - Spitalzentrum Oberwallis (SZO);Pflanzettastrasse 8;3930 Visp;182.57;409.53;108.36;179;40;50;;2641824.003;1129802.005;;;;
686;Bruderholz;;4101;Bruderholz;BL;Amb, Stat;Kantonsspital Baselland;Mühlemattstrasse 26;4410 Liestal;418.48;1042.04;457.26;426;;104;;2610775.648;1264149.308;;;;
687;Bürgenstock Hotels AG Waldhotel Health & Medical Excellence Rehabilitationsklinik;Bürgenstock 30;6363;Obbürgen;NW;Stat;Bürgenstock Hotels AG - Waldhotel Health & Medical Excellence Rehabilitationsklinik;Bürgenstock 30;6363 Obbürgen;2.26;6.77;2.42;0;;13;;2671965.771;1205515.207;;;;
688;Bürgerspital Solothurn;Schöngrünstrasse 36a;4500;Solothurn;SO;Amb, Stat;Solothurner Spitäler AG;Schöngrünstrasse 36a;4500 Solothurn;620.24;1438.16;466.03;460;140;;;2607570.379;1227667.347;;;;
996;Psychiatrie Nord CPNVD;Avenue des Sports 12B;1400;Yverdon-les-Bains;VD;Amb, Stat;CHUV Centre Hospitalier Universitaire Vaudois;Rue du Bugnon 21;1011 Lausanne;1983.73;3664.13;1986.64;867;320;113;;2539580.999;1181501.002;1300;50;Small;162500
690;CNP CUP;Maladière 45;2000;Neuchâtel;NE;Amb;CNP Centre Neuchâtelois de psychiatrie;;2017 Boudry;91.36;198.22;68.65;;106;;;2562277.629;1205143.086;;;;
691;CNP Site de CPCL;Vieux-Châtel 18-20;2000;Neuchâtel;NE;Amb;CNP Centre Neuchâtelois de psychiatrie;;2017 Boudry;91.36;198.22;68.65;;106;;;2562009.885;1205087.003;;;;
