Commune,District,Population,Demand_Beds,Closest_Distance_km,Closest_Hospital,Pop_2016,Pop_2017,Pop_2018,Pop_2019,Pop_2020,Pop_2021,Pop_2022,Pop_2023,Pop_2024
Gland,Nyon,13978,31.402630136986303,1.684321563,Clinique la Lignière,13081,13101,13194,13243,13303,13686,13976,13968,13978
Gollion,Morges,1091,2.451013698630137,3.299418087,Permanence de Cossonay,918,939,939,996,1018,1033,1064,1064,1091
Goumoëns,Gros-de-Vaud,1251,2.810465753424658,7.512799299999999,Hôpital de Saint-Loup,1110,1119,1140,1153,1166,1175,1212,1211,1251
Grancy,Morges,541,1.2153972602739727,3.98745237,Permanence de Cossonay,403,398,397,406,445,489,547,540,541
Grandcour,Broye-Vully,970,2.179178082191781,6.00755199,Payerne,890,929,953,967,987,1001,1006,983,970
Grandevent,Jura-Nord vaudois,241,0.5414246575342466,6.608646187000001,Hôpital de Chamblon,229,238,222,226,238,237,237,241,241
Grandson,Jura-Nord vaudois,3391,7.618136986301369,2.823850195,Psychiatrie Nord CPNVD,3284,3360,3340,3356,3366,3358,3386,3396,3391
Grens,Nyon,413,0.9278356164383561,3.046145346,Hôpital de Nyon,382,391,383,405,401,400,392,394,413
Gryon,Aigle,1546,3.473205479452055,8.762921046999999,Aigle Pôle Physio-Ergo d'Aigle,1364,1332,1347,1378,1382,1389,1520,1525,1546
Hautemorges,Morges,4426,9.943342465753425,6.5667989669999995,Hôpital de Morges,4024,4068,4074,4101,4173,4257,4343,4387,4426
Henniez,Broye-Vully,464,1.0424109589041097,9.912526309,Payerne,359,341,376,396,407,414,454,468,464
Hermenches,Broye-Vully,364,0.8177534246575343,4.797208772,Moudon,379,364,367,384,371,374,377,373,364
Jongny,Riviera-Pays-d'Enhaut,1917,4.306684931506849,0.6901296807999999,Hôpital psychiatrique Nant,1549,1536,1544,1670,1805,1842,1918,1921,1917
Jorat-Mézières,Lavaux-Oron,3209,7.209260273972603,8.371306711999999,Moudon,2850,2869,2949,2966,3095,3110,3177,3189,3209
Jorat-Menthue,Gros-de-Vaud,1564,3.5136438356164392,6.92645619,Moudon,1532,1586,1591,1602,1603,1565,1557,1576,1564
Jouxtens-Mézery,Lausanne,1455,3.268767123287671,3.5663377919999997,Hôpital ophtalmique Jules-Gonin,1469,1471,1423,1411,1460,1468,1493,1482,1455
Juriens,Jura-Nord vaudois,345,0.775068493150685,5.033095251,Hôpital de Saint-Loup,309,308,328,336,348,346,351,348,345
La Chaux (Cossonay),Morges,421,0.9458082191780821,2.464615113,Permanence de Cossonay,420,410,395,391,398,412,433,436,421
La Praz,Jura-Nord vaudois,214,0.4807671232876713,5.9523034,Hôpital de Saint-Loup,160,165,165,175,182,183,206,207,214
La Rippe,Nyon,1218,2.7363287671232874,5.917992361,Hôpital de Nyon,1164,1161,1136,1131,1165,1197,1206,1194,1218
La Sarraz,Morges,2609,5.861315068493151,1.101694138,Hôpital de Saint-Loup,2609,2596,2651,2598,2620,2608,2599,2618,2609
La Tour-de-Peilz,Riviera-Pays-d'Enhaut,13053,29.324547945205477,0.5005321171,La Tour-de-Peilz,11779,11871,11906,12088,12220,12400,12605,12812,13053
L'Abbaye,Jura-Nord vaudois,1599,3.5922739726027393,7.290849156,Hôpital de la Vallée de Joux,1492,1481,1481,1473,1521,1534,1534,1538,1599
